"tag1","date","status","c1","c2","ch","stemd1","herbivory","notes"
819,"2014-10-29",1,4,3,5,2.3,0,""
819,"2015-02-19",1,NA,NA,NA,NA,0,NA
819,"2015-03-27",1,NA,NA,NA,NA,0,NA
819,"2015-05-28",1,3,3,4,2.2,NA,""
588,"2014-10-29",1,2,2,4,1.5,0,""
588,"2015-02-19",1,NA,NA,NA,NA,0,NA
588,"2015-03-27",1,NA,NA,NA,NA,0,NA
588,"2015-05-28",1,3,3,5,1.9,NA,""
264,"2014-10-29",1,3,4,6,2.2,0,""
264,"2015-02-19",1,NA,NA,NA,NA,0,NA
264,"2015-03-27",1,NA,NA,NA,NA,0,NA
264,"2015-05-28",1,5,5,6,2.3,NA,""
271,"2014-10-29",1,6,3,11,3.1,0,""
271,"2015-02-19",1,NA,NA,NA,NA,0,NA
271,"2015-03-27",1,NA,NA,NA,NA,0,NA
271,"2015-05-28",1,4,5,11,3,NA,""
730,"2014-10-29",1,2,3,3,1.5,0,""
730,"2015-02-19",1,NA,NA,NA,NA,0,NA
730,"2015-03-27",1,NA,NA,NA,NA,0,NA
730,"2015-05-28",1,3,3,4,2,NA,"fluffy gall "
268,"2014-10-29",1,4,5,7,2.9,0,""
268,"2015-02-19",1,NA,NA,NA,NA,0,NA
268,"2015-03-27",1,NA,NA,NA,NA,0,NA
268,"2015-05-28",1,4,4,8,3.3,NA,""
576,"2014-10-29",1,2,2,6,1.5,0,""
576,"2015-02-19",1,NA,NA,NA,NA,0,NA
576,"2015-03-27",1,NA,NA,NA,NA,0,NA
576,"2015-05-28",1,4,4,7,2.1,NA,"fluffy gall"
469,"2014-10-29",1,4,4,5,2,0,""
469,"2015-02-19",1,NA,NA,NA,NA,0,NA
469,"2015-03-27",1,NA,NA,NA,NA,0,NA
469,"2015-05-28",1,5,5,5,2.4,NA,""
260,"2014-10-29",1,3,3,4,2,0,""
260,"2015-02-19",1,NA,NA,NA,NA,0,NA
260,"2015-03-27",1,NA,NA,NA,NA,0,NA
260,"2015-05-28",1,3,3,4,3.1,NA,""
770,"2014-10-29",1,4,4,5,2.3,0,""
770,"2015-02-19",1,NA,NA,NA,NA,0,NA
770,"2015-03-27",1,NA,NA,NA,NA,0,NA
770,"2015-05-28",1,5,4,6,2.6,NA,""
723,"2014-10-29",1,1,1,4,1.8,0,""
723,"2015-02-19",1,NA,NA,NA,NA,0,NA
723,"2015-02-19",1,NA,NA,NA,NA,0,NA
723,"2015-03-27",1,NA,NA,NA,NA,0,NA
723,"2015-05-28",1,3,2,5,2.6,NA,""
477,"2014-10-29",1,1,1,2,1.2,0,""
477,"2015-02-19",1,NA,NA,NA,NA,0,NA
477,"2015-03-27",1,NA,NA,NA,NA,0,NA
477,"2015-05-28",1,2,2,3,1.3,NA,""
451,"2014-10-29",1,4,4,4,2.4,0,""
451,"2015-02-19",1,NA,NA,NA,NA,0,NA
451,"2015-03-27",1,NA,NA,NA,NA,0,NA
451,"2015-05-28",1,4,5,4,2.6,NA,""
690,"2014-10-29",1,3,2,3,2,0,""
690,"2015-02-19",1,NA,NA,NA,NA,0,NA
690,"2015-03-27",1,NA,NA,NA,NA,0,NA
690,"2015-05-28",1,3,2,2,2.4,1,""
628,"2014-10-29",1,3,3,3,2,0,""
628,"2015-02-19",1,NA,NA,NA,NA,0,NA
628,"2015-03-27",1,NA,NA,NA,NA,0,NA
628,"2015-05-28",1,3,3,4,2.7,NA,""
514,"2014-10-29",1,2,3,4,1.9,0,""
514,"2015-02-19",1,NA,NA,NA,NA,0,NA
514,"2015-03-27",1,NA,NA,NA,NA,0,NA
514,"2015-05-28",1,4,3,4,2.1,NA,""
189,"2014-10-29",1,3,2,7,2.8,0,""
189,"2015-02-19",1,NA,NA,NA,NA,0,NA
189,"2015-03-27",1,NA,NA,NA,NA,0,NA
189,"2015-05-28",1,3,4,8,3,NA,""
32,"2014-10-29",1,3,2,3,1.5,0,""
32,"2015-02-19",1,NA,NA,NA,NA,0,NA
32,"2015-03-27",1,NA,NA,NA,NA,0,NA
32,"2015-05-28",1,3,4,4,1.6,NA,""
243,"2014-10-29",1,2,2,6,2.5,0,""
243,"2015-02-19",1,NA,NA,NA,NA,0,NA
243,"2015-03-27",1,NA,NA,NA,NA,0,NA
243,"2015-05-28",1,4,3,6,2.6,NA,""
19,"2014-10-29",1,3,4,7,2,0,""
19,"2015-02-19",1,NA,NA,NA,NA,0,NA
19,"2015-03-27",1,NA,NA,NA,NA,0,NA
19,"2015-05-28",1,5,4,7,2.7,NA,""
336,"2014-10-29",1,2,1,2,1.3,0,""
336,"2015-02-19",1,NA,NA,NA,NA,0,NA
336,"2015-03-27",1,NA,NA,NA,NA,0,NA
336,"2015-05-28",1,3,2,3,1.3,NA,""
342,"2014-10-29",1,3,3,4,2,0,""
342,"2015-02-19",1,NA,NA,NA,NA,0,NA
342,"2015-03-27",1,NA,NA,NA,NA,0,NA
342,"2015-05-28",1,4,5,3,3.1,NA,""
647,"2014-10-29",1,1,1,5,3,0,""
647,"2015-02-19",1,NA,NA,NA,NA,0,NA
647,"2015-03-27",1,NA,NA,NA,NA,0,NA
647,"2015-05-28",1,2,2,6,2.4,NA,""
710,"2014-10-29",1,3,2,5,1.5,0,""
710,"2015-02-19",1,NA,NA,NA,NA,0,NA
710,"2015-03-27",1,NA,NA,NA,NA,0,NA
710,"2015-05-28",1,4,3,6,1.7,NA,""
288,"2014-10-29",1,2,3,5,1.7,0,""
288,"2015-02-19",1,NA,NA,NA,NA,0,NA
288,"2015-03-27",1,NA,NA,NA,NA,0,NA
288,"2015-05-28",1,3,4,5,1.6,NA,""
540,"2014-10-29",1,2,2,4,1.4,0,""
540,"2015-02-19",1,NA,NA,NA,NA,0,NA
540,"2015-03-27",1,NA,NA,NA,NA,0,NA
540,"2015-05-28",1,5,3,4,1.5,NA,""
415,"2014-10-29",1,4,3,4,2.5,0,""
415,"2015-02-19",1,NA,NA,NA,NA,0,NA
415,"2015-03-27",1,NA,NA,NA,NA,0,NA
415,"2015-05-28",1,4,4,4,3.1,NA,""
361,"2014-10-29",1,2,2,3,1.3,0,""
361,"2015-02-19",1,NA,NA,NA,NA,0,NA
361,"2015-03-27",1,NA,NA,NA,NA,0,NA
361,"2015-05-28",1,3,3,4,2.2,NA,""
244,"2014-10-29",1,3,2,2,1.6,0,""
244,"2015-02-19",1,NA,NA,NA,NA,0,NA
244,"2015-03-27",1,NA,NA,NA,NA,0,NA
244,"2015-05-28",1,3,4,5,2,NA,""
753,"2014-10-29",1,2,2,3,1.2,0,""
753,"2015-02-19",1,NA,NA,NA,NA,0,NA
753,"2015-03-27",1,NA,NA,NA,NA,0,NA
753,"2015-03-27",1,NA,NA,NA,NA,0,NA
753,"2015-05-28",1,3,2,4,1.5,NA,""
404,"2014-10-29",1,5,3,5,2.3,0,""
404,"2015-02-19",1,NA,NA,NA,NA,0,NA
404,"2015-03-27",1,NA,NA,NA,NA,0,NA
404,"2015-05-28",1,4,6,5,3.4,NA,""
228,"2014-10-29",1,5,4,4,1.9,0,""
228,"2015-02-19",1,NA,NA,NA,NA,0,NA
228,"2015-03-27",1,NA,NA,NA,NA,0,NA
228,"2015-05-28",1,5,4,5,2.3,NA,""
529,"2014-10-30",1,3,2,4,1.3,0,""
529,"2015-02-19",1,NA,NA,NA,NA,0,NA
529,"2015-03-26",1,NA,NA,NA,NA,0,NA
529,"2015-05-26",3,2,2,4,0.9,NA,""
716,"2014-10-30",1,4,3,8,2.2,0,""
716,"2015-02-19",1,NA,NA,NA,NA,0,NA
716,"2015-03-26",1,NA,NA,NA,NA,0,NA
716,"2015-05-26",1,5,3,9,2.2,NA,""
544,"2014-10-30",1,4,2,4,2.4,0,""
544,"2015-02-19",1,NA,NA,NA,NA,0,NA
