site,T,Y,X,treat,ID,field_tag,date,status,c1,c2,ch,canopy,infls,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,stem_d1,notes,stem_d2,lv_stems,dd_stems,herbivory
B,1,75,0.5,control,667,667,41575,1,2,2,4,,,,,,,,,,,,,1.3,,,,,
B,1,85,-0.5,remove,668,668,41575,1,3,2,4,,,,,,,,,,,,,1.6,,,,,
B,1,85,0.5,control,669,669,41575,3,1,1,2,,,,,,,,,,,,,1,,,,,
B,1,87,-0.5,control,508,508,41575,1,3,3,4,,,,,,,,,,,,,1.2,,,,,
B,1,95,-0.5,remove,670,670,41575,1,2,2,5,,,,,,,,,,,,,1.9,,,,,
B,1,95,0.5,control,671,671,41575,1,2,2,4,,,,,,,,,,,,,1,,,,,
B,1,97,-0.5,remove,510,510,41575,1,1,1,2,,,,,,,,,,,,,1.7,,,,,
B,1,97,0.5,control,511,511,41575,1,2,3,5,,,,,,,,,,,,,2.2,,,,,
B,2,3.8,0.8,control,99,99,41575,1,3,2,3,,,,,,,,,,,,,1.4,,,,,
B,2,4.7,-0.9,remove,98,98,41575,1,2,1,6,,,,,,,,,,,,,2,,,,,
B,2,8.7,-0.3,control,101,101,41575,1,2,2,2,,,,,,,,,,,,,2.1,,,,,
B,1,3.6,0,remove,832,107,41575,1,3,2,4,,,,,,,,,,,,,1.4,,,,,
B,2,12.2,0.3,control,102,102,41575,1,6,3,7,,,,,,,,,,,,,2,,,,,
B,2,13.4,-0.5,remove,103,103,41575,1,3,2,6,,,,,,,,,,,,,2,,,,,
B,2,16.2,0.4,remove,104,104,41575,1,3,3,6,,,,,,,,,,,,,1.3,,,,,
B,2,17.1,-1,control,105,105,41575,1,2,1,7,,,,,,,,,,,,,1.3,,,,,
B,2,59.1,-0.2,remove,106,106,41575,1,2,1,3,,,,,,,,,,,,,0.4,,,,,
B,2,61.5,0.3,control,108,108,41575,1,3,3,7,,,,,,,,,,,,,1.2,,,,,
B,2,63.6,0.2,control,834,114,41575,1,1,1,3,,,,,,,,,,,,,1.3,,,,,
B,2,83.6,0.4,control,110,110,41575,1,7,6,8,,,,,,,,,,,,,2.7,,,,,
B,2,85,0.4,remove,111,111,41575,1,5,4,9,,,,,,,,,,,,,2.6,,,,,
B,2,86.3,0.1,remove,112,112,41575,1,3,3,5,,,,,,,,,,,,,1.5,,,,,
B,2,91,0.5,control,113,113,41575,1,5,3,6,,,,,,,,,,,,,3.1,,,,,
B,3,0.23,0,control,85,85,41575,1,115,110,57,62,593,9,7,8,8,8,8,9,8,7,11,,,,,,
B,3,6,0.15,remove,82,82,41575,1,9,9,10,1,0,,,,,,,,,,,,,,,,
B,3,11.6,-2.4,control,83,83,41575,1,43,32,42,4,180,7,6,8,8,5,5,5,5,3,3,,,,,,
B,3,17.9,-0.4,control,84,84,41575,1,10,6,10,1,0,,,,,,,,,,,,,,,,
B,3,29.5,0.1,control,86,86,41575,1,8,7,11,1,0,,,,,,,,,,,,,,,,
B,3,35.8,-0.3,control,87,87,41575,1,79,90,40,41,26,2,2,3,2,1,1,1,1,1,1,,,,,,
B,3,41.2,0.9,control,88,88,41575,1,23,19,23,3,3,2,1,2,,,,,,,,,,,,,
B,3,48.3,-0.3,control,89,89,41575,1,47,35,40,6,24,3,3,4,3,2,3,3,3,2,,,many sterile infls.,,,,
B,3,53.1,0.7,remove,90,90,41575,1,23,21,25,2,0,,,,,,,,,,,,,,,,
B,3,59.6,-0.4,remove,91,91,41575,1,120,78,46,51,559,5,5,6,5,3,5,3,6,3,5,,,,,,
B,3,66.4,0.3,remove,92,92,41575,1,18,16,36,3,65,4,3,6,7,3,3,4,3,3,4,,,,,,
B,3,70.9,0,remove,93,93,41575,1,59,50,46,14,140,5,3,4,6,6,4,4,2,5,6,,,,,,
B,3,78.4,-0.1,remove,94,94,41575,1,22,17,26,2,0,,,,,,,,,,,,six galls,,,,
B,3,84.6,0.9,remove,95,95,41575,1,73,87,44,37,436,6,5,6,7,8,6,5,4,4,6,,,,,,
B,3,90,-0.1,control,96,96,41575,1,25,27,41,4,89,2,4,1,2,2,4,5,5,3,2,,,,,,
B,3,96.5,0.3,remove,97,97,41575,1,53,26,37,8,30,4,5,3,3,4,3,2,3,3,3,,,,,,
B,2,11.2,-0.7,remove,833,109,41575,1,3,3,4,,,,,,,,,,,,,1.2,new one?,,,,
C,1,6.2,-0.5,control,838,1,41588,1,1,1,2,,,,,,,,,,,,,0.5,,,,,
C,1,6.2,-2,remove,839,2,41588,1,3,2,4,,,,,,,,,,,,,1.3,,,,,
C,1,9.8,-1,control,840,9,41588,1,3,1,3,,,,,,,,,,,,,1.5,,,,,
C,1,10,1.8,control,3,3,41588,1,2,2,4,,,,,,,,,,,,,1.2,,,,,
C,1,11.1,1.4,remove,4,4,41588,1,2,2,6,,,,,,,,,,,,,1.7,,,,,
C,1,24,-2.1,remove,5,5,41588,1,3,3,11,,,,,,,,,,,,,1.2,,,,,
C,1,24.4,-0.95,remove,6,6,41588,1,1,1,4,,,,,,,,,,,,,0.8,,,,,
C,1,34,-0.7,remove,7,7,41588,1,2,1,4,,,,,,,,,,,,,1.4,,,,,
C,1,42.3,-2.4,remove,8,8,41588,1,4,3,4,,,,,,,,,,,,,1.6,,,,,
C,1,48.9,0.9,control,10,10,41588,2,,,,,,,,,,,,,,,,,,,,,
C,1,52.2,-1.6,remove,11,11,41588,1,4,2,6,,,,,,,,,,,,,1.8,,,,,
C,1,52.4,-0.55,control,12,12,41588,1,2,1,5,,,,,,,,,,,,,,,,,,
C,1,52.5,-2.3,control,33,33,41588,1,4,3,7,,,,,,,,,,,,,,,,,,
C,1,53.7,-1.4,control,13,13,41588,1,4,2,5,,,,,,,,,,,,,,,,,,
C,1,54.7,-0.9,control,14,14,41588,1,2,2,5,,,,,,,,,,,,,,,,,,
C,1,55.1,-0.6,remove,15,15,41588,1,3,4,8,,,,,,,,,,,,,,,,,,
C,1,55.2,0.6,control,16,16,41588,1,1,1,3,,,,,,,,,,,,,,,,,,
C,1,55.9,0.1,remove,17,17,41588,1,5,3,6,,,,,,,,,,,,,,,,,,
C,1,57.6,2.5,remove,841,18,41588,1,2,2,3,,,,,,,,,,,,,,,,,,
C,1,58.1,-0.85,control,19,19,41588,1,3,1,6,,,,,,,,,,,,,,,,,,
C,1,59.2,0.4,remove,20,20,41588,1,2,1,7,,,,,,,,,,,,,,,,,,
C,1,59.4,2.5,remove,32,32,41588,1,3,2,8,,,,,,,,,,,,,,,,,,
