"site","T","Y","X","treat","ID","TAG","date","status","c1","c2","ch","old.notes","date2","Spring.Status","Spring.Notes","herbivory"
"B","2","61.5","0.3","control","108","108","41575","1","3","3","7","","41772","1","",""
"B","2","63.6","0.2","control","834","114","41575","1","1","1","3","","41772","1","",""
"B","2","83.6","0.4","control","110","110","41575","1","7","6","8","","41772","1","",""
"B","2","85","0.4","remove","111","111","41575","1","5","4","9","","41772","1","big gall",""
"B","2","86.3","0.1","remove","112","112","41575","1","3","3","5","","41772","1","",""
"B","2","91","0.5","control","113","113","41575","1","5","3","6","","41772","1","",""
"B","3","23","0","control","85","85","41575","1","115","110","57","","41772","1","23 m x 0 m ",""
"B","3","6","0.15","remove","82","82","41575","1","9","9","10","","41772","1","tips wilting",""
"B","3","11.6","-2.4","control","83","83","41575","1","43","32","42","","41772","1","",""
"B","3","17.9","-0.4","control","84","84","41575","1","10","6","10","","41772","1","",""
"B","3","29.5","0.1","control","86","86","41575","1","8","7","11","","41772","1","",""
"B","3","35.8","-0.3","control","87","87","41575","1","79","90","40","","41772","1","",""
"B","3","41.2","0.9","control","88","88","41575","1","23","19","23","","41772","1","",""
"B","3","48.3","-0.3","control","89","89","41575","1","47","35","40","many sterile infls.","41772","1","branch dying back ",""
"B","3","53.1","0.7","remove","90","90","41575","1","23","21","25","","41772","1","",""
"B","3","59.6","-0.4","remove","91","91","41575","1","120","78","46","","41772","1","some dead branches",""
"B","3","66.4","0.3","remove","92","92","41575","1","18","16","36","","41772","1","",""
"B","3","70.9","0","remove","93","93","41575","1","59","50","46","","41772","1","",""
"B","3","78.4","-0.1","remove","94","94","41575","1","22","17","26","six galls","41772","1","",""
"B","3","84.6","0.9","remove","95","95","41575","1","73","87","44","","41772","1","",""
"B","3","90","-0.1","control","96","96","41575","1","25","27","41","","41772","1","",""
"B","3","96.5","0.3","remove","97","97","41575","1","53","26","37","","41772","1","",""
"B","2","11.2","-0.7","","833","109","41575","1","3","3","4","","41772","1","yellow tipped lvs. ",""
"C","1","6.2","-0.5","control","838","1","41588","1","1","1","2","","41775","0","dry gray",""
"C","1","6.2","-2","remove","839","2","41588","1","3","2","4","","41775","1","healthy! ",""
"C","1","9.8","-1","control","840","9","41588","1","3","1","3","","41775","1","",""
"C","1","10","1.8","control","3","3","41588","1","2","2","4","","41775","1","",""
"C","1","11.1","1.4","remove","4","4","41588","1","2","2","6","","41775","1","",""
"C","1","24","-2.1","remove","5","5","41588","1","3","3","11","","41775","1","resprouting",""
"C","1","24.4","-0.95","remove","6","6","41588","1","1","1","4","","41775","0","plant gone",""
"C","1","34","-0.7","remove","7","7","41588","1","2","1","4","","41775","1","",""
"C","1","42.3","-2.4","remove","8","8","41588","1","4","3","4","","41775","1","",""
"C","1","48.9","0.9","control","10","10","41588","2","","","","","41775","0","dry no lvs",""
"C","1","52.2","-1.6","remove","11","11","41588","1","4","2","6","","41775","1","",""
"C","1","52.4","-0.55","control","12","12","41588","1","2","1","5","","41775","1","",""
"C","1","52.5","-2.3","control","33","33","41588","1","4","3","7","","41775","1","",""
"C","1","53.7","-1.4","control","13","13","41588","1","4","2","5","","41775","1","",""
"C","1","54.7","-0.9","control","14","14","41588","1","2","2","5","","41775","0","dry gray",""
"C","1","55.1","-0.6","remove","15","15","41588","1","3","4","8","","41775","1","some dead branches",""
"C","1","55.2","0.6","control","16","16","41588","1","1","1","3","","41775","1","",""
"C","1","55.9","0.1","remove","17","17","41588","1","5","3","6","","41775","0","dry gray",""
"C","1","57.6","2.5","remove","841","18","41588","1","2","2","3","","41775","1","",""
"C","1","58.1","-0.85","control","19","19","41588","1","3","1","6","","41775","0","dry gray",""
"C","1","59.2","0.4","remove","20","20","41588","1","2","1","7","","41775","0","dry gray stepped on?",""
"C","1","59.4","2.5","remove","32","32","41588","1","3","2","8","","41775","0","dry gray",""
"C","1","63.9","0.3","control","21","21","41588","1","3","3","5","","41775","1","",""
"C","1","64.8","-0.3","control","22","22","41588","1","2","1","5","","41775","1","",""
"C","1","64.8","-1.3","remove","23","23","41588","1","2","1","4","","41775","0","dry gray",""
"C","1","67.9","-1.6","control","25","25","41588","1","2","2","5","","41775","1","",""
"C","1","69.5","0.3","control","26","26","41588","1","1","1","8","","41775","1","resprouting",""
"C","1","70.6","-0.4","remove","27","27","41588","1","7","4","9","","41775","0","dry gray",""
"C","1","75","0.2","remove","29","29","41588","1","5","3","5","","41775","1","",""
"C","1","75.8","2","control","842","24","41588","1","3","4","7","","41775","1","",""
"C","1","77.5","1.4","remove","30","30","41588","1","3","2","6","","41775","1","",""
"C","1","83.5","0.3","control","31","31","41588","1","2","1","4","","41775","1","",""
"C","1","84.1","2.5","","843","28","41588","1","2","2","3","","41775","1","no trtment",""
"C","2","6","2.4","control","35","35","41588","1","45","35","23","","41775","1","",""
"C","2","7.9","-1.6","control","34","34","41588","1","72","57","51","","41775","1","",""
"C","2","11.5","0.4","control","36","36","41588","1","25","17","59","","41775","0","dry gray",""
"C","2","13.1","-0.1","control","37","37","41588","1","12","7","26","","41775","1","",""
"C","2","17","-2.4","control","38","38","41588","1","105","91","64","","41775","1","",""
"C","2","18.5","0.1","control","39","39","41588","1","35","23","30","","41775","1","",""
"C","2","23.2","-0.3","control","40","40","41588","1","20","8","20","","41775","1","dry gray, switched status from 3 to 1 because plant was recorded alive on 5-21-14",""
"C","2","25.1","-2.1","remove","41","41","41588","1","35","18","30","","41775","0","dry gray",""
"C","2","28.4","0.4","control","42","42","41588","1","83","65","49","","41775","1","switched trtment",""
"C","2","32.6","1.1","remove","43","43","41588","1","125","90","81","","41775","1","",""
"C","2","36.6","0.05","remove","44","44","41588","1","15","7","11","old with black fungus on stems","41775","1","",""
"C","2","37.8","-1.8","control","45","45","41588","1","14","19","29","","41775","0","dry gray lvs falling off",""
"C","2","38.8","0.7","control","46","46","41588","1","85","81","59","","41775","1","broken branch",""
"C","2","42.8","0.6","remove","47","47","41588","1","57","57","42","","41775","1","",""
"C","2","47.2","0.25","control","48","48","41588","1","5","6","11","","41775","1","removal effective",""
"C","2","48.2","-1.7","remove","49","49","41588","1","27","25","37","","41775","1","",""
"C","2","51.1","-0.9","remove","50","50","41588","1","93","78","77","","41775","1","",""
"C","2","54.5","1.9","remove","51","51","41588","1","48","27","46","","41775","1","",""
"C","2","59.9","0.25","remove","52","52","41588","1","5","8","9","","41775","1","",""
"C","2","62.5","-1","remove","53","53","41588","1","18","12","32","","41775","1","",""
"C","2","65.8","-0.6","removal","54","54","41588","1","84","50","45","","41775","1","switched trtment",""
"C","2","68","2.3","remove","55","55","41588","1","141","95","60","","41775","1","",""
"C","2","71.6","0.5","remove","56","56","41588","1","41","37","35","","41775","1","",""
"C","2","73.7","-1.4","control","57","57","41588","1","15","11","30","","41775","1","",""
"C","2","78.2","2.45","remove","58","58","41588","1","76","64","60","","41775","1","",""
"C","2","78.2","-1.1","control","59","59","41588","1","73","50","46","","41775","1","",""
"C","2","81.9","1.1","remove","60","60","41588","1","18","15","42","","41775","0","trampled broken at base",""
"C","2","84.2","-1.6","remove","61","61","41588","1","25","26","37","","41775","1","broken on side",""
"C","2","88.6","4.2","control","62","62","41588","1","76","25","51","","41775","1","half dead",""
"C","2","90.4","0.4","remove","63","63","41588","1","57","24","27","","41775","1","",""
"C","2","94.8","0.25","control","64","64","41588","1","9","8","17","","41775","1","",""
"C","2","97.3","-0.3","control","65","65","41588","1","46","37","43","","41775","1","",""
"C","3","7","-0.5","remove","592","592","41588","1","3","2","4","","41775","1","removal ineffective",""
"C","3","7","0.5","control","593","593","41588","3","2","1","6","","41775","0","dry no lvs",""
"C","3","25","-0.5","remove","796","796","41588","1","1","1","3","","41775","0","dry no lvs",""
"C","3","27","-0.5","remove","596","596","41588","1","2","2","4","","41775","1","",""
"C","3","27","0.5","control","597","597","41588","1","2","1","4","","41775","0","dry no lvs",""
"C","3","35","0.5","control","799","799","41588","1","2","3","5","","41775","0","dry gray",""
"C","3","37","-0.5","control","598","598","41588","1","3","3","5","","41775","1","",""
"C","3","45","0.5","control","801","801","41588","1","2","2","4","","41775","1","",""
"C","3","49","-0.5","control","600","600","41588","1","4","3","5","","41775","1","",""
"C","3","49","0.5","remove","601","601","41588","1","4","3","5","","41775","1","",""
"C","3","55","-0.5","control","802","802","41588","3","1","1","3","","41775","0","no lvs",""
"C","3","55","0.5","remove","803","803","41588","1","2","1","4","","41775","1","",""
"C","3","56","0.5","remove","603","603","41588","1","3","3","5","","41775","1","",""
"C","3","65","-0.5","remove","804","804","41588","1","3","3","2","","41775","1","",""
"C","3","65","0.5","control","805","805","41588","1","4","3","5","","41775","1","no lvs, changed status from 0 to 1 because it was recorded alive on 5-21-14",""
"C","3","67","-0.5","remove","604","604","41588","1","3","2","6","","41775","1","",""
"C","3","67","0.5","control","605","605","41588","1","2","1","4","","41775","1","",""
"C","3","75","-0.5","control","806","806","41588","1","4","2","4","","41775","1","",""
"C","3","75","0.5","remove","807","807","41588","1","2","1","6","","41775","1","",""
"C","3","77","-0.5","control","606","606","41588","1","4","2","3","","41775","0","no lvs",""
"C","3","84","-0.5","remove","808","808","41588","1","2","1","5","","41775","0","no lvs",""
"C","3","87","-0.5","control","608","608","41588","1","1","1","3","","41775","0","no lvs",""
"C","3","87","0.5","remove","609","609","41588","1","1","1","3","","41775","0","no lvs",""
"C","3","95","0.5","remove","811","811","41588","1","3","3","8","","41775","1","healthy! ",""
"C","3","97","-0.5","control","610","610","41588","1","2","3","5","","41775","1","healthy! ",""
"C","3","97","0.5","remove","611","611","41588","1","3","1","3","","41775","0","no lvs",""
"G","1","6.1","-0.5","remove","148","148","41574","1","77","37","39","","41774","1","",""
"G","1","12.1","-0.3","control","149","149","41574","1","45","30","50","","41774","1","",""
"G","1","18.3","0","control","150","150","41574","1","33","39","44","","41774","1","",""
"G","1","23.6","1.3","control","151","151","41574","1","94","54","75","","41774","1","",""
"G","1","29.3","0.4","remove","152","152","41574","1","40","32","41","some leaves falling off","41774","1","barely alive",""
"G","1","36.1","0.3","control","153","153","41574","1","65","64","65","","41774","1","",""
"G","1","42.2","0.6","control","154","154","41574","1","25","28","26","","41774","1","",""
"G","1","47.4","-0.4","remove","155","155","41574","1","50","58","50","","41774","1","broken branch",""
"G","1","54.4","0.5","control","156","156","41574","1","31","18","36","","41774","1","",""
"G","1","56.5","0.5","remove","157","157","41574","1","115","35","48","","41774","1","",""
"G","1","66.4","0.2","remove","158","158","41574","1","31","31","36","","41774","1","",""
"G","1","71.8","0","remove","159","159","41574","1","124","86","65","","41774","1","",""
"G","1","77.9","0.6","control","160","160","41574","1","47","32","57","","41774","1","",""
"G","1","83.3","0.3","removal","161","161","41574","1","68","43","65","","41774","1","switched trtment",""
"G","1","90.2","0.6","remove","162","162","41574","1","27","30","43","","41774","1","",""
"G","1","95.4","0.1","remove","163","163","41574","1","81","42","60","aphids and ants","41774","1","ants on plant",""
"G","3","5","-0.5","control","732","732","41574","1","3","2","5","","41774","1","",""
"G","3","7","-0.5","control","532","532","41574","1","2","1","3","","41774","1","",""
"G","3","7","0.5","remove","533","533","41574","1","2","1","5","","41774","1","",""
"G","3","15","-0.5","control","734","734","41574","1","2","1","3","","41774","0","dry gray",""
"G","3","17","-0.5","remove","534","534","41574","1","2","2","5","","41774","0","browsed","1"
"G","3","25","-0.5","remove","736","736","41574","1","2","2","4","","41774","1","",""
"G","3","25","0.5","control","737","737","41574","0","","","","","41774","NA","",""
"G","3","27","-0.5","control","536","536","41574","1","3","1","5","","41774","1","",""
"G","3","35","-0.5","control","738","738","41574","1","3","2","5","","41774","1","",""
"G","3","37","-0.5","remove","538","538","41574","1","3","4","9","","41774","1","",""
"G","3","37","0.5","control","539","539","41574","1","2","3","4","","41774","1","",""
"G","3","45","-0.5","control","740","740","41574","1","2","2","4","","41774","0","dry curled up lvs",""
"G","3","45","0.5","remove","741","741","41574","1","3","2","4","","41774","0","dry gray",""
"G","3","47","-0.5","remove","540","540","41574","1","3","4","6","","41774","0","browsed","1"
"G","3","47","0.5","control","541","541","41574","0","","","","","41774","NA","",""
"G","3","55","-0.5","control","742","742","41574","1","3","3","5","","41774","1","resprouting",""
"G","3","55","0.5","remove","743","743","41574","1","2","3","6","","41774","1","resprouting",""
"G","3","57","-0.5","control","542","542","41574","1","3","4","6","","41774","1","",""
"G","3","57","0.5","remove","543","543","41574","1","3","2","4","","41774","1","",""
"G","3","65","-0.5","remove","744","744","41574","0","","","","","41774","NA","",""
"G","3","65","0.5","control","745","745","41574","1","4","2","6","","41774","1","",""
"G","3","67","0.5","control","545","545","41574","1","3","3","5","","41774","0","dry gray",""
"G","3","75","-0.5","control","746","746","41574","1","2","1","4","","41774","1","",""
"G","3","75","0.5","remove","747","747","41574","1","3","2","6","","41774","1","",""
"G","3","77","-0.5","remove","546","546","41574","3","1","1","4","","41774","0","browsed","1"
"G","3","85","-0.5","remove","748","748","41574","1","2","1","4","","41774","0","dry no lvs",""
"G","3","85","0.5","control","749","749","41574","1","1","1","4","","41774","1","",""
"G","3","87","-0.5","control","548","548","41574","1","1","2","4","","41774","1","",""
"G","3","87","0.5","remove","549","549","41574","1","1","1","4","","41774","1","",""
"G","3","95","-0.5","control","750","750","41574","3","1","1","4","","41774","0","dry gray",""
"G","3","95","0.5","remove","751","751","41574","3","1","1","2","","41774","0","browsed","1"
"G","3","97","-0.5","control","550","550","41574","0","","","","","41774","NA","",""
"G","4","3.8","0.4","remove","66","66","41574","1","5","2","4","chewed on","41774","0","dry no lvs",""
"G","4","4.9","0.8","control","67","67","41574","1","2","1","7","","41774","1","",""
"G","4","5.4","2.7","control","853","74","41574","1","3","5","6","","41774","1","",""
"G","4","5.7","0.1","remove","68","68","41574","1","2","2","5","","41774","0","dry no lvs",""
"G","4","15.4","-2.2","control","854","77","41574","1","4","3","8","stepped on","41774","1","good",""
"G","4","45.6","-0.9","control","70","70","41574","1","7","6","7","","41774","1","",""
"G","4","49.1","-0.2","remove","852","73","41574","1","5","4","7","","41774","1","",""
"G","4","55","-0.5","control","851","72","41574","0","","","","Eaten","41774","NA","",""
"G","4","63.3","-0.7","remove","75","75","41574","1","5","4","10","","41774","1","",""
"G","4","68.5","0.6","remove","76","76","41574","0","","","","","41774","NA","",""
"G","4","73","1.1","control","850","71","41574","1","6","6","8","","41774","1","",""
"G","4","76.7","0.1","control","78","78","41574","1","4","3","5","","41774","1","",""
"G","4","83","-3.3","control","849","69","41574","1","5","3","6","","41774","1","browsed one leaf left","1"
"G","4","84.3","-0.8","remove","79","79","41574","1","5","4","7","","41774","1","",""
"G","4","99.4","1.2","remove","81","81","41574","1","5","4","7","","41774","1","",""
"G","4","99.7","-0.4","remove","80","80","41574","1","2","3","5","","41774","0","dry no lvs",""
"H","1","5.4","0.2","control","228","228","41574","1","6","5","13","","41774","0","dry gray",""
"H","1","7.4","0.8","remove","229","229","41574","0","","","","","41774","NA","gone",""
"H","1","14.1","0.7","control","230","230","41574","1","4","2","7","","41774","1","",""
"H","1","22.3","0","remove","231","231","41574","1","1","1","7","","41774","3","no lvs, changed status from 0 to 3 because it was recorded 1 on 5-21-14, but that seems odd because no measurements were given",""
"H","1","42","-2.7","remove","845","232","41574","1","2","2","3","chewed on","41774","3","browsed but still flxble","1"
"H","1","47.1","-0.5","remove","846","235","41574","3","1","1","3","","41774","0","gone",""
"H","1","55.7","0","control","233","233","41574","1","2","4","7","","41774","0","dry gray",""
"H","1","58.7","0.2","control","234","234","41574","0","","","","Eaten","41774","NA","",""
"H","1","61.3","-1.5","remove","847","237","41574","1","2","2","5","chewed on","41774","0","dry no lvs",""
"H","1","63.1","-0.1","remove","236","236","41574","0","","","","Eaten","41774","NA","",""
"H","1","65","1.1","control","238","238","41574","1","4","1","8","","41774","1","",""
"H","1","65","-1","control","848","242","41574","1","3","3","8","","41774","3","browsed but still flxble","1"
"H","1","65.8","-1.3","remove","239","239","41574","0","","","","Eaten","41774","NA","",""
"H","1","66.2","-1.9","control","240","240","41574","1","3","3","5","","41774","0","no lvs, dry",""
"H","1","77","0.4","remove","241","241","41574","1","1","1","3","","41774","0","browsed no lvs","1"
"H","1","82.3","-0.1","control","244","244","41574","1","1","1","3","","41774","0","browsed","1"
"H","1","85.4","1.2","control","247","247","41574","1","2","2","4","","41774","0","dry gray",""
"H","1","99.7","0.2","remove","246","246","41574","1","4","4","8","","41774","0","no lvs",""
"H","2","5.7","-1.1","remove","197","197","41574","1","48","45","44","","41774","1","lots of grass",""
"H","2","5.9","0.9","control","196","196","41574","1","17","12","30","","41774","1","",""
"H","2","11","-3.3","remove","199","199","41574","1","80","36","52","","41774","1","main branch stomped on",""
"H","2","12","0.4","remove","198","198","41574","1","103","100","49","","41774","1","",""
"H","2","18.5","-2.1","remove","201","201","41574","1","16","21","29","","41774","1","",""
"H","2","18.6","0.1","remove","200","200","41574","1","27","27","27","","41774","1","",""
"H","2","24.3","0.1","control","202","202","41574","1","50","44","38","","41774","1","",""
"H","2","26.3","-1.8","control","203","203","41574","1","66","55","67","","41774","1","",""
"H","2","30.1","-1.1","remove","205","205","41574","1","19","27","36","","41774","1","",""
"H","2","32.2","0.3","control","204","204","41574","1","15","10","13","","41774","1","",""
"H","2","35.5","0.1","remove","206","206","41574","1","44","32","45","","41774","1","",""
"H","2","37.4","-0.4","remove","207","207","41574","1","74","57","53","","41774","1","",""
"H","2","41.1","0.1","control","209","209","41574","1","28","39","47","","41774","1","dying branches",""
"H","2","42.4","-0.3","control","208","208","41574","1","22","17","8","","41774","1","",""
"H","2","47.8","0.2","control","210","210","41574","1","51","45","36","","41774","1","",""
"H","2","48.9","-1.6","control","211","211","41574","1","93","89","102","","41774","1","big broken branch",""
"H","2","53.1","0.6","remove","212","212","41574","1","11","19","31","losing leaves","41774","0","dry no lvs ",""
"H","2","54.2","-0.9","remove","213","213","41574","1","21","19","30","","41774","0","crushed",""
"H","2","60.2","1.1","remove","215","215","41574","1","110","45","51","","41774","1","",""
"H","2","60.8","-1.1","remove","214","214","41574","1","39","37","36","","41774","1","",""
"H","2","65","-1.3","control","216","216","41574","1","34","22","27","","41774","1","",""
"H","2","66.4","-0.5","control","217","217","41574","1","42","59","35","","41774","1","",""
"H","2","71.4","1","control","218","218","41574","1","95","52","35","","41774","1","",""
"H","2","71.7","-1.5","control","219","219","41574","1","81","69","71","","41774","1","",""
"H","2","77.2","-0.5","control","221","221","41574","1","19","9","22","","41774","1","stomped on, switched status from 0 to 1 because it was recorded alive on 5-22-14",""
"H","2","78.1","0","remove","220","220","41574","1","30","27","26","","41774","1","resprouting from base",""
"H","2","84.1","1.1","control","222","222","41574","1","55","60","40","","41774","1","",""
"H","2","84.8","-0.5","control","223","223","41574","1","60","64","50","","41774","1","not removed",""
"H","2","89.7","-0.1","remove","224","224","41574","1","14","8","24","","41774","1","",""
"H","2","90.2","-2.4","remove","225","225","41574","1","39","10","22","","41774","1","",""
"H","2","90.7","0.5","control","255","255","41574","1","4","3","8","seedling","41774","1","could not find it, changed status from 2 to 1 because it was alive on 5-22-14",""
"H","2","96.1","0.2","remove","226","226","41574","1","79","70","39","","41774","1","",""
"H","2","97.2","-2.7","remove","227","227","41574","1","72","50","50","","41774","1","changed trtment",""
"H","3","5","-0.5","control","752","752","41574","1","4","3","5","","41775","1","",""
"H","3","5","0.5","remove","753","753","41574","1","1","1","2","Eaten","41775","1","healthy! ",""
"H","3","7","-0.5","control","552","552","41574","0","","","","","41775","NA","",""
