"site","T","Y","X","treat","ID","TAG","date","status","c1","c2","ch","old.notes","date2","Spring.Status","Spring.Notes","herbivory"
"B",1,51,-0.5,"remove",500,500,2013-10-28,3,2,1,4,NA,2014-05-13,"0",NA,NA
"B",1,55,0.5,"control",663,663,2013-10-28,3,2,1,5,NA,2014-05-13,"0",NA,NA
"B",1,65,-0.5,"control",664,664,2013-10-28,3,4,2,3,NA,2014-05-13,"3","unsure of status",NA
"B",1,65,0.5,"remove",665,665,2013-10-28,1,4,4,5,NA,2014-05-13,"1",NA,NA
"B",1,67,0.5,"remove",505,505,2013-10-28,3,3,2,5,NA,2014-05-13,"0",NA,NA
"B",1,75,0.5,"control",667,667,2013-10-28,1,2,2,4,NA,2014-05-13,"1",NA,NA
"B",1,85,-0.5,"remove",668,668,2013-10-28,1,3,2,4,NA,2014-05-13,"0",NA,NA
"B",1,85,0.5,"control",669,669,2013-10-28,3,1,1,2,NA,2014-05-13,"0",NA,NA
"B",1,87,-0.5,"control",508,508,2013-10-28,1,3,3,4,NA,2014-05-13,"0",NA,NA
"B",1,95,-0.5,"remove",670,670,2013-10-28,1,2,2,5,NA,2014-05-13,"1","removal effective",NA
"B",1,95,0.5,"control",671,671,2013-10-28,1,2,2,4,NA,2014-05-13,"0",NA,NA
"B",1,97,-0.5,"remove",510,510,2013-10-28,1,1,1,2,NA,2014-05-13,"3",NA,NA
"B",1,97,0.5,"control",511,511,2013-10-28,1,2,3,5,NA,2014-05-13,"0",NA,NA
"B",2,3.8,0.8,"control",99,99,2013-10-28,1,3,2,3,NA,2014-05-13,"1",NA,NA
"B",2,4.7,-0.9,"remove",98,98,2013-10-28,1,2,1,6,NA,2014-05-13,"0","no lvs.",NA
"B",2,8.7,-0.3,"control",101,101,2013-10-28,1,2,2,2,NA,2014-05-13,"1",NA,NA
"B",1,3.6,0,NA,832,107,2013-10-28,1,3,2,4,NA,2014-05-13,"1",NA,NA
"B",2,12.2,0.3,"control",102,102,2013-10-28,1,6,3,7,NA,2014-05-13,"1","growing from base",NA
"B",2,13.4,-0.5,"remove",103,103,2013-10-28,1,3,2,6,NA,2014-05-13,"1",NA,NA
"B",2,16.2,0.4,"remove",104,104,2013-10-28,1,3,3,6,NA,2014-05-13,"1",NA,NA
"B",2,17.1,-1,"control",105,105,2013-10-28,1,2,1,7,NA,2014-05-13,"1",NA,NA
"B",2,59.1,-0.2,"remove",106,106,2013-10-28,1,2,1,3,NA,2014-05-13,"0","no lvs",NA
"B",2,61.5,0.3,"control",108,108,2013-10-28,1,3,3,7,NA,2014-05-13,"1",NA,NA
"B",2,63.6,0.2,"control",834,114,2013-10-28,1,1,1,3,NA,2014-05-13,"1",NA,NA
"B",2,83.6,0.4,"control",110,110,2013-10-28,1,7,6,8,NA,2014-05-13,"1",NA,NA
"B",2,85,0.4,"remove",111,111,2013-10-28,1,5,4,9,NA,2014-05-13,"1","big gall",NA
"B",2,86.3,0.1,"remove",112,112,2013-10-28,1,3,3,5,NA,2014-05-13,"1",NA,NA
"B",2,91,0.5,"control",113,113,2013-10-28,1,5,3,6,NA,2014-05-13,"1",NA,NA
"B",3,23,0,"control",85,85,2013-10-28,1,115,110,57,NA,2014-05-13,"1","23 m x 0 m ",NA
"B",3,6,0.15,"remove",82,82,2013-10-28,1,9,9,10,NA,2014-05-13,"1","tips wilting",NA
"B",3,11.6,-2.4,"control",83,83,2013-10-28,1,43,32,42,NA,2014-05-13,"1",NA,NA
"B",3,17.9,-0.4,"control",84,84,2013-10-28,1,10,6,10,NA,2014-05-13,"1",NA,NA
