tag1,tag2,site,T,Y,X,spec,class,treat,date,status,c1,c2,ch,stemd1,canopy,infls,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,herbivory,notes,Stat1,Stat2,SpringNotes1,SpringNotes2,ID
711,,A,3,53,0,ATV,5,control,41932,0,,,,,,,,,,,,,,,,,,,3,0,,dry,1006
702,,A,3,55,-0.5,ATP,4,remove,41932,1,4,4,4,2.2,,,,,,,,,,,,,,,1,1,,,702
468,,A,3,61,0,ATP,5,remove,41932,3,,,,,,,,,,,,,,,,,,dry gray,1,1,,,1007
621,,A,3,63,0,ATV,5,remove,41932,1,9,6,6,3.5,,,,,,,,,,,,,,,1,1,,,1008
704,,A,3,65,-0.5,ATP,4,remove,41932,1,7,6,7,4.2,,,,,,,,,,,,,,,1,1,,,704
705,,A,3,65,0.5,ATP,4,control,41932,1,2,1,5,1.6,,,,,,,,,,,,,,,1,1,,,705
470,,A,3,71,0,ATP,5,remove,41932,1,5,2,8,2.9,,,,,,,,,,,,,,,1,1,,,1009
526,,A,3,73,0,ATV,5,remove,41932,1,5,3,5,2.3,,,,,,,,,,,,,,,1,1,,dry,1010
706,,A,3,75,-0.5,ATP,4,remove,41932,0,,,,,,,,,,,,,,,,,,lost tag,1,1,,"herbivory, changed status from 0 to 1 because recorded alive on 5-20-14",706
834,,A,3,81,0,ATP,5,control,41932,3,,,,,,,,,,,,,,,,,,dry gray,1,1,,,1011
708,,A,3,85,-0.5,ATP,4,remove,41932,1,9,6,7,4.6,,,,,,,,,,,,,,,1,1,,,708
839,,A,3,93,0,ATV,5,control,41932,3,,,,,,,,,,,,,,,,,,,1,1,,dry,1014
710,,A,3,95,-0.5,ATP,4,control,41932,0,,,,,,,,,,,,,,,,,,,1,1,,,710
842,,B,1,1,0,ATP,5,control,41932,3,,,,,,,,,,,,,,,,,,dry gray,1,1,,,1015
843,,B,1,3,0,ATV,5,remove,41932,1,6,6,5,4.1,,,,,,,,,,,,,,,1,1,,,1016
844,,B,1,11,0,ATP,5,remove,41932,3,,,,,,,,,,,,,,,,,,dry gray,1,1,,,1017
845,,B,1,13,0,ATV,5,remove,41932,1,4,4,7,3.2,,,,,,,,,,,,,,,1,1,,,1018
654,,B,1,15,-0.5,ATP,4,remove,41932,1,7,7,7,2.8,,,,,,,,,,,,,,,1,1,,,654
846,,B,1,21,0,ATP,5,control,41932,1,5,6,5,2.3,,,,,,,,,,,,,,,1,1,,,1019
847,,B,1,23,0,ATV,5,control,41932,0,,,,,,,,,,,,,,,,,,,3,1,sheep ripped off tag and browsed leaves,,1020
848,,B,1,31,0,ATP,5,remove,41932,0,,,,,,,,,,,,,,,,,,,1,1,,,1021
849,,B,1,33,0,ATV,5,remove,41932,1,4,3,6,2,,,,,,,,,,,,,,,1,1,,,1022
850,,B,1,41,0,ATP,5,control,41932,0,,,,,,,,,,,,,,,,,,,3,3,no lvs. ,,1023
851,,B,1,43,0,ATV,5,control,41932,1,4,3,5,2.5,,,,,,,,,,,,,,,1,1,,,1024
852,,B,1,53,0,ATP,5,control,41932,1,6,4,5,2.2,,,,,,,,,,,,,,no central stem,1,1,multiple stems; y x change,,1025
853,,B,1,54,0,ATV,5,control,41932,0,,,,,,,,,,,,,,,,,,,3,3,"y, x change",dry gray,1026
854,,B,1,61,0,ATP,5,control,41932,3,,,,,,,,,,,,,,,,,,dry,1,1,,,1027
855,,B,1,63,0,ATV,5,remove,41932,1,7,3,9,2.5,,,,,,,,,,,,,,,1,1,,,1028
664,,B,1,65,-0.5,ATP,4,control,41932,0,,,,,,,,,,,,,,,,,,,3,3,no lvs. ,unsure of status,664
665,,B,1,65,0.5,ATP,4,remove,41932,1,7,6,5,3,,,,,,,,,,,,,,,1,1,,,665
856,,B,1,71,0,ATP,5,remove,41932,1,3,4,6,2,,,,,,,,,,,,,,,1,1,,,1029
857,,B,1,73,0,ATV,5,control,41932,3,,,,,,,,,,,,,,,,,,dry no leaves,1,1,,,1030
667,,B,1,75,0.5,ATP,4,control,41932,1,4,3,5,1.7,,,,,,,,,,,,,,,1,1,,,667
859,,B,1,83,0,ATV,5,remove,41932,1,3,3,4,2,,,,,,,,,,,,,,,1,1,,,1032
860,,B,1,91,0,ATP,5,remove,41932,1,4,4,5,3.2,,,,,,,,,,,,,,,1,1,,,1033
861,,B,1,93,0,ATV,5,control,41932,1,3,3,4,2,,,,,,,,,,,,,,,1,1,,,1034
670,,B,1,95,-0.5,ATP,4,remove,41932,1,4,4,5,3.1,,,,,,,,,,,,,,,1,1,,removal effective,670
107,,B,2,3.6,0.4,ATP,1,remove,41932,1,5,4,7,3,,,,,,,,,,,,,,,1,1,"Transect correction, assuming same plant as fall 2013",,832
99,,B,2,3.8,0.8,ATP,1,control,41932,1,4,3,4,2.2,,,,,,,,,,,,,,,1,1,,,99
663,,B,2,7.9,0.5,ATP,1,remove,41932,1,6,6,5,2.7,,,,,,,,,,,,,,,1,ERROR,,ERROR,1059
101,,B,2,8.7,-0.3,ATP,1,control,41932,1,3,3,3,2.4,,,,,,,,,,,,,,,1,1,,,101
109,,B,2,11.2,-0.3,ATP,1,remove,41932,1,4,3,4,1.9,,,,,,,,,,,,,,,1,1,assuming the same plant as in fall 2013,yellow tipped lvs. ,833
102,,B,2,12.2,0.3,ATP,1,control,41932,1,4,3,5,2.7,,,,,,,,,,,,,,,1,1,resprouting ,growing from base,102
103,,B,2,13.4,-0.5,ATP,1,remove,41932,1,7,4,9,2.9,,,,,,,,,,,,,,,1,1,,,103
104,,B,2,16.2,0.4,ATP,1,remove,41932,1,6,5,7,2.5,,,,,,,,,,,,,,,1,1,,,104
105,,B,2,17.1,-1,ATP,1,control,41932,1,4,4,9,2.4,,,,,,,,,,,,,,,1,1,,,105
500,,B,2,19.8,-0.1,ATP,1,control,41932,1,2,2,3,1.6,,,,,,,,,,,,,,,1,ERROR,,ERROR,1060
108,,B,2,61.5,0.3,ATP,1,control,41932,1,4,4,7,1.9,,,,,,,,,,,,,,,1,1,,,108
114,,B,2,63.6,0.2,ATP,1,control,41932,1,2,2,2,1.9,,,,,,,,,,,,,,,1,1,,,834
671,,B,2,75.3,2,ATP,1,control,41932,1,6,4,8,2.8,,,,,,,,,,,,,,,1,ERROR,,ERROR,1061
110,,B,2,83.6,0.4,ATP,1,control,41932,1,8,6,7,3.5,,,,,,,,,,,,,,,1,1,,,110
111,,B,2,85,0.4,ATP,1,remove,41932,1,7,6,10,4,,,,,,,,,,,,,,,1,1,,big gall,111
112,,B,2,86.3,0.1,ATP,1,remove,41932,1,5,4,5,4.1,,,,,,,,,,,,,,,1,1,,,112
113,,B,2,91,0.5,ATP,1,control,41932,1,5,5,6,3.3,,,,,,,,,,,,,,,1,1,,,113
82,,B,3,6,0.15,ATP,2,remove,41932,1,17,18,16,,2,0,,,,,,,,,,,,,1,1,,tips wilting,82
83,,B,3,11.6,-2.4,ATP,3,control,41932,1,39,35,34,,4,81,2.5,2,1,2,1,1,3.5,1,1,1,,,1,1,,,83
84,,B,3,17.9,-0.4,ATP,2,control,41932,1,10,15,11,,1,0,,,,,,,,,,,,,1,1,separate plant just to the N,,84
85,,B,3,23,0,ATP,3,control,41932,1,120,123,58,,61,286,3,7,3,4,2,1,3,1,1,2,,,1,1,,23 m x 0 m ,85
86,,B,3,29.5,0.1,ATP,2,control,41932,1,11,7,12,,1,0,,,,,,,,,,,,,1,1,,,86
87,,B,3,35.8,-0.3,ATP,3,control,41932,1,80,94,38,,42,108,1,1,1,1,1,1,1,1,1,1,,,1,1,,,87
88,,B,3,41.2,0.9,ATP,2,control,41932,1,22,23,24,,2,0,,,,,,,,,,,,,1,1,,,88
89,,B,3,48.3,-0.3,ATP,3,control,41932,1,33,24,37,,6,27,2,1,1,1,1,1,1,1,1,1,,,1,1,,branch dying back ,89
90,,B,3,53.1,0.7,ATP,2,remove,41932,1,31,23,27,,4,2,2,1,,,,,,,,,,,1,1,,,90
91,,B,3,59.6,-0.4,ATP,3,remove,41932,1,124,90,44,,50,454,6,7,4,9,8,3,7,6,3,4,,,1,1,some dead branches,some dead branches,91
92,,B,3,66.4,0.3,ATP,2,remove,41932,1,23,19,36,,3,12,1,2,1,5,3,4,2,3,3,3,,,1,1,,,92
93,,B,3,70.9,0,ATP,3,remove,41932,1,74,69,47,,21,122,4,7,3,6,5,4,4,4,5,3,,black aphids,1,1,,,93
94,,B,3,78.4,-0.1,ATP,2,remove,41932,1,32,21,26,,4,5,1,1,1,2,4,,,,,,,,1,1,,,94
95,,B,3,84.6,0.9,ATP,3,remove,41932,1,112,89,51,,44,251,6,6,3,9,9,5,3,6,6,11,,,1,1,,,95
96,,B,3,90,-0.1,ATP,2,control,41932,1,31,22,39,,4,67,4,1,2,4,1,1,2,2,2,1,,,1,1,,,96
97,,B,3,96.5,0.3,ATP,3,remove,41932,1,64,39,38,,12,55,4,6,4,6,6,8,9,5,4,8,,,1,1,,,97
2,,C,1,6.2,-2,ATV,1,remove,41933,1,7,7,8,4.9,,,,,,,,,,,,,,,1,ERROR,,ERROR,839
9,,C,1,9.8,-1,ATV,1,control,41933,1,4,3,4,2.2,,,,,,,,,,,,,,,1,ERROR,,ERROR,840
3,,C,1,10,1.8,ATV,1,control,41933,1,2,2,5,2.4,,,,,,,,,,,,,,,1,ERROR,,ERROR,3
4,,C,1,11.1,1.4,ATV,1,remove,41933,1,6,5,8,3.5,,,,,,,,,,,,,,,1,ERROR,,ERROR,4
5,,C,1,24,-2.1,ATP,1,remove,41933,1,4,2,5,2.8,,,,,,,,,,,,,,,1,ERROR,resprouting,ERROR,5
650,,C,1,33.1,-5,ATV,1,remove,41933,1,5,3,5,3.4,,,,,,,,,,,,,,,1,ERROR,,ERROR,1066
7,,C,1,34,-0.7,ATV,1,remove,41933,1,6,3,7,3.1,,,,,,,,,,,,,,,1,ERROR,,ERROR,7
8,,C,1,42.3,-2.4,ATV,1,remove,41933,1,7,7,12,4.2,,,,,,,,,,,,,,,1,ERROR,,ERROR,8
496,,C,1,45.5,-0.6,ATV,1,control,41933,1,3,2,8,2.7,,,,,,,,,,,,,,change x,1,ERROR,,ERROR,1062
11,,C,1,52.2,-0.6,ATP,1,remove,41933,1,8,5,11,3.8,,,,,,,,,,,,,,,1,ERROR,,ERROR,11
12,,C,1,52.4,-0.55,ATV,1,control,41933,1,2,2,7,2.1,,,,,,,,,,,,,,,1,ERROR,,ERROR,12
33,,C,1,52.5,-2.3,ATV,1,control,41933,1,5,3,5,3.4,,,,,,,,,,,,,,gray gall small neighbor to the west,1,ERROR,,ERROR,33
13,,C,1,53.7,-1.4,ATP,1,control,41933,1,4,2,6,3.5,,,,,,,,,,,,,,,1,ERROR,,ERROR,13
15,,C,1,55.1,-0.6,ATP,1,remove,41933,1,6,6,12,3.4,,,,,,,,,,,,,,,1,ERROR,,ERROR,15
16,,C,1,55.2,0.6,ATP,1,control,41933,1,2,2,3,1.4,,,,,,,,,,,,,,,1,ERROR,,ERROR,16
18,,C,1,57.6,2.5,ATV,1,remove,41933,1,4,4,5,2.7,,,,,,,,,,,,,,,1,ERROR,,ERROR,841
829,,C,1,58.2,1,ATV,1,control,41933,1,4,3,8,1.7,,,,,,,,,,,,,,,1,ERROR,,ERROR,1063
659,,C,1,60.6,1,ATV,1,remove,41933,1,4,6,7,2.6,,,,,,,,,,,,,,,1,ERROR,has a gall,ERROR,1064
827,,C,1,61.9,1.2,ATV,1,control,41933,1,7,4,8,3.4,,,,,,,,,,,,,,,1,ERROR,,ERROR,1065
21,,C,1,63.9,0.3,ATV,1,control,41933,1,6,4,6,3.6,,,,,,,,,,,,,,,1,ERROR,,ERROR,21
22,,C,1,64.8,-0.3,ATP,1,control,41933,1,4,3,6,2.1,,,,,,,,,,,,,,,1,ERROR,,ERROR,22
25,,C,1,67.9,-1.6,ATP,1,control,41933,1,4,4,7,2.4,,,,,,,,,,,,,,,1,ERROR,,ERROR,25
26,,C,1,69.5,0.3,ATP,1,control,41933,1,2,2,4,2,,,,,,,,,,,,,,,1,ERROR,resprouting,ERROR,26
29,,C,1,75,0.2,ATP,1,remove,41933,1,15,17,12,6.8,,,,,,,,,,,,,,,1,ERROR,,ERROR,29
24,,C,1,75.8,2,ATP,1,control,41933,1,6,5,8,3.6,,,,,,,,,,,,,,,1,ERROR,,ERROR,842
30,,C,1,77.5,1.4,ATP,1,remove,41933,1,7,7,8,3.7,,,,,,,,,,,,,,,1,ERROR,,ERROR,30
838,,C,1,78.4,-1,ATP,1,control,41933,1,7,4,6,3.4,,,,,,,,,,,,,,,1,ERROR,,ERROR,1067
31,,C,1,83.5,0.3,ATP,1,control,41933,1,5,5,5,2.3,,,,,,,,,,,,,,,1,ERROR,,ERROR,31
