tag1,tag2,site,transect,Y,X,ID,species,class,treatment,status,notes.1,notes.2,DATE,STATUS,c1,c2,ch,canopy,stem_d1,stem_d2,notes
849,,B,1,33,0,1022,ATV,5,remove,1,,,5/28/15,1,4,4,9,,2.3,2.5,
851,,B,1,43,0,1024,ATV,5,control,1,,,5/28/15,1,5,6,8,,3.2,3.4,
852,,B,1,53,0,1025,ATP,5,control,1,no central stem,,5/28/15,1,7,9,7,,,,multistem
854,,B,1,61,0,1027,ATP,5,control,3,dry,,5/28/15,0,,,,,1.4,1.2,
855,,B,1,63,0,1028,ATV,5,remove,1,,,5/28/15,1,6,9,11,,3.7,4,
665,,B,1,65,0.5,665,ATP,4,remove,1,,,5/28/15,1,10,12,10,,5.4,5.2,
856,,B,1,71,0,1029,ATP,5,remove,1,,,5/28/15,1,7,5,8,,2.8,2.9,
857,,B,1,73,0,1030,ATV,5,control,3,dry no leaves,,5/28/15,0,,,,,1.7,1.6,
667,,B,1,75,0.5,667,ATP,4,control,1,,,5/28/15,1,4,6,6,,2.6,2.6,
859,,B,1,83,0,1032,ATV,5,remove,1,,,5/28/15,1,6,6,7,,3.5,3.2,
860,,B,1,91,0,1033,ATP,5,remove,1,,,5/28/15,1,7,9,8,,,,multistem
861,,B,1,93,0,1034,ATV,5,control,1,,,5/28/15,1,4,5,5,,2.8,3,
670,,B,1,95,-0.5,670,ATP,4,remove,1,,,5/28/15,1,8,8,9,,4,4.6,
107,,B,2,3.6,0.4,832,ATP,1,remove,1,,missing in summer 2013 but refound,5/28/15,1,8,7,9,,4,4.1,
99,,B,2,3.8,0.8,99,ATP,1,control,1,,,5/28/15,1,4,6,8,,2.9,2.9,
663,,B,2,7.9,0.5,1059,ATP,1,remove,1,,,5/28/15,1,9,8,9,,4.3,4.5,
101,,B,2,8.7,-0.3,101,ATP,1,control,1,,,5/28/15,1,3,3,4,,2.5,2.5,
109,,B,2,11.2,-0.3,833,ATP,1,remove,1,,missing in summer 2013 but refound,5/28/15,1,5,4,4,,2.2,2.4,
102,,B,2,12.2,0.3,102,ATP,1,control,1,,,5/28/15,1,3,5,5,,2.6,2.6,
103,,B,2,13.4,-0.5,103,ATP,1,remove,1,,,5/28/15,1,6,9,13,,3.9,5.3,
104,,B,2,16.2,0.4,104,ATP,1,remove,1,,,5/28/15,1,8,10,11,,3.8,3.5,
105,,B,2,17.1,-1,105,ATP,1,control,1,,,5/28/15,1,4,4,9,,2.5,2.7,
500,,B,2,19.8,-0.1,1060,ATP,1,control,1,,,5/28/15,1,1,2,4,,1.5,1.3,
108,,B,2,61.5,0.3,108,ATP,1,control,1,,,5/28/15,1,5,9,9,,2.4,2.3,
114,,B,2,63.6,0.2,834,ATP,1,control,1,,,5/28/15,1,3,4,4,,2.2,2.5,
671,,B,2,75.3,2,1061,ATP,1,control,1,,,5/28/15,1,7,7,9,,3.7,3.6,maybe AAX
