shrub_id,site,species,stem_diam,cw,cl,ch,wt_g
ss1,C,ATP,1.2,1.5,3,4,0.0989
ss2,C,ATP,0.9,1.5,1,4.7,0.0823
ss3,C,ATP,1.2,0.5,2.1,7,0.0928
ss4,C,ATP,1.2,1,2,4.3,0.0948
ss5,C,ATP,0.9,0.8,1.5,3.8,0.0542
ss6,C,ATP,1.2,0.5,1.3,3.6,0.0711
ss7,C,ATP,1.6,1.8,2.8,4.2,0.1776
ss8,C,ATP,0.9,0.7,1,3.3,0.0436
ss9,C,ATP,1.1,0.6,1,4.5,0.0461
ss10,C,ATP,1.1,1,5.2,6.9,0.1912
ss11,C,ATP,0.7,0.5,0.5,4.4,0.0365
ss12,C,ATP,0.8,0.5,1.5,3.7,0.0412
ss13,C,ATP,0.7,1.8,2,4.1,0.0893
ss14,C,ATP,1.4,0.7,2.3,4.5,0.0862
ss15,C,ATP,1,1.5,1.5,5.6,0.1225
ss16,C,ATP,1.8,2.5,4.6,7,0.4194
ss17,C,ATP,1.3,1,2.1,6,0.0915
ss18,C,ATP,2,1.6,4,7.1,0.2091
ss19,C,ATP,1.9,2.1,4.6,6.4,0.2954
ss20,C,ATV,1.1,1,1.6,3.2,0.0668
ss21,C,ATV,1.8,2.1,2.5,7.5,0.3153
ss22,C,ATV,1.5,1.5,2.2,5.9,0.243
ss23,C,ATV,1.7,1.5,2.9,6.1,0.1803
ss24,C,ATV,1.3,2.2,3.3,4.3,0.1632
ss25,C,ATV,1.6,1.3,2.3,4.9,0.1365
ss26,C,ATV,0.9,1.1,1.3,3.7,0.0439
ss27,C,ATV,1.1,1.6,1.4,3.5,0.1066
ss28,C,ATV,1.1,1.1,0.7,5,0.0748
ss29,C,ATV,1.7,0.9,2.8,5,0.1693
ss30,C,ATP,1.1,1.1,2,4.6,0.0953
