shrub_id,stem_diams
1,7.5
2,12
3,6.5
4,8.5
5,27.5
5,27
5,13
5,11
5,11
5,23
5,17.5
5,21
5,17
5,11
5,21
6,15.6
6,13
6,15.5
6,14.5
7,64.5
7,23
7,10.5
7,19
7,13.5
7,17.5
7,13.5
7,16.5
7,20
7,18
7,21
7,21
7,12
7,14
7,16.5
8,16
9,14.5
10,32.5
10,36.5
10,10
10,14
10,17
10,17
11,4.5
12,6.5
13,4
14,22
15,43
15,20
15,19.5
15,18
15,15
15,15
15,21
15,15.5
15,13.5
15,12.5
15,15
16,12
17,72
17,13
17,16
17,14
17,18
18,12
19,17
