site,ATP,ATV,AAX
A,14.8,0,2.566666667
B,15.9,0,5.3
C,7.8,12,0.6
D,10.6,8.3,3.1
E,0,23,0
F,0.2,18,0
G,0,27.7,0
H,11.8,16.4,0
I,22.4,0,2.2
J,0,29.1,0
K,10.1,0,7
L,8.4,15,1.1
M,0,30.8,0
