site_ID,lat,lon,ele,us_ppt_197
A,44.20453191,-112.1871281,1623.780273,32519
B,44.21865064,-112.1468938,1659.829346,33620
C,44.26250685,-112.1543685,1692.51416,37251
D,44.27210044,-112.149733,1723.276123,38992
E,44.28823493,-112.136727,1752.115234,42512
F,44.30195075,-112.1547489,1783.838623,42186
G,44.2891919,-112.0902552,1798.498535,45097
H,44.2819615,-112.1225892,1755.960449,41705
I,44.27201344,-112.185955,1702.367432,37068
