site,site_no,12T,UTM,ele
A,1,405150.4294,4895275.303,1623.780273
K,2,408432.8365,4895055.752,1641.564453
B,3,408386.989,4896797.849,1659.829346
C,4,407858.3923,4901677.459,1692.51416
I,5,405352.4129,4902769.334,1702.367432
L,6,408313.4758,4903321.024,1729.28418
H,7,410424.5826,4903803.175,1755.960449
G,8,413015.3109,4904571.493,1798.498535
M,9,410899.1005,4907347.729,1815.562012
J,10,413685.2689,4906488.638,1850.890137
